src_ip,packet_count,unique_ports,proto_avg,attack_list,port_scan_ratio,common_port_ratio,rule_pred,ml_pred,risk_score,final_pred
168.0.164.130,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.131,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.132,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.134,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.135,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.136,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.137,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.138,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.139,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.14,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.140,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.141,6,1,1.0,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0.14285714285714285,0.0,0,0,0.01749484245095937,0
168.0.164.143,5,1,1.0,"['NA', 'NA', 'NA', 'NA', 'NA']",0.16666666666666666,0.0,0,0,0.015276682467402153,0
168.0.164.144,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.145,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.146,6,1,1.0,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0.14285714285714285,0.0,0,0,0.01749484245095937,0
168.0.164.147,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.148,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.15,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.150,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
